date,cases,ww_mean,ww_smooth,social_index,social_lag1,pct_mean,pos_lag1,cases_lag1,cases_lag2,week_num,Lineage_other,Lineage_B.1.1.7,Lineage_B.1.351,Lineage_P.1,Lineage_B.1.617.2,Lineage_BA.1,Lineage_BA.2,Lineage_BA.2.12.1,Lineage_BA.4,Lineage_BA.5,Lineage_BQ.1,Lineage_BA.2.75,Lineage_XBB,Lineage_XBB.1.5,Lineage_XBB.1.9,Lineage_XBF,Lineage_XBB.1.16,Lineage_EG.5,Lineage_BA.2.86,Lineage_JN.1,Lineage_KP.2,Lineage_KP.3,Lineage_XEC,Lineage_NB.1.8.1,Lineage_LP.8.1,Lineage_XFG,Lineage_BA.3.2,wastewater_change,positivity_change,top_lineage,top_lineage_pct,top_lineage_pct_change,llm_forecast_1,llm_forecast_2,llm_forecast_3,llm_ci_lower_1,llm_ci_upper_1,llm_ci_lower_2,llm_ci_upper_2,llm_ci_lower_3,llm_ci_upper_3,llm_category_1,llm_category_2,llm_category_3,llm_explanation
2024-01-07,383,868,1703.0,4.875,6.1875,0.85,1.96,537.0,767.0,15,0.9425,0,0,0,0,0,0.195,0,0,0.0,0.0,0.1,0.1725,0.9575,0.495,0,0.27,4.4275,8.23,84.1125,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.44180064308681677,-0.5663265306122449,Lineage_JN.1,84.1125,0.05981855981855988,,,,,,,,,,,,,
2024-01-14,303,617,1013.33333333333,3.51,4.875,0.65,0.85,383.0,537.0,16,0.55,0,0,0,0,0,0.145,0,0,0.0,0.0,0.1,0.3375,0.3675,0.3475,0,0.1225,3.38,7.0025,87.55,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.2891705069124424,-0.23529411764705876,Lineage_JN.1,87.55,0.040867885272700244,,,,,,,,,,,,,
2024-01-21,290,630,705.0,3.9,3.51,0.69,0.65,303.0,383.0,17,0.8325,0,0,0,0,0,0.145,0,0,0.0,0.0,0.1,0.215,0.54,0.3475,0,0.0,2.4075,6.5175,88.795,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.021069692058346856,0.06153846153846132,Lineage_JN.1,88.795,0.01422044545973744,,,,,,,,,,,,,
2024-01-28,244,487,578.0,3.705,3.9,0.49,0.69,290.0,303.0,18,1.125,0,0,0,0,0,0.145,0,0,0.0,0.0,0.0,0.4125,0.6375,0.145,0,0.0,1.8875,5.88,89.5725,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,-0.22698412698412695,-0.28985507246376807,Lineage_JN.1,89.5725,0.008756123655611292,,,,,,,,,,,,,
2024-02-04,201,354,490.333333333333,3.12,3.705,0.35,0.49,244.0,290.0,19,1.665,0,0,0,0,0,0.0,0,0,0.0,0.0,0.3425,0.755,0.835,0.0,0,0.0,1.3625,6.2375,88.605,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,-0.2731006160164271,-0.2857142857142857,Lineage_JN.1,88.605,-0.010801306204471284,,,,,,,,,,,,,
2024-02-11,154,207,349.333333333333,2.34,3.12,0.23,0.35,201.0,244.0,20,2.1025,0,0,0,0,0,0.0,0,0,0.0,0.0,0.3425,0.9775,0.835,0.0,0,0.0,1.37,4.95,89.22,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,-0.4152542372881356,-0.34285714285714275,Lineage_JN.1,89.22,0.006940917555442683,,,,,,,,,,,,,
2024-02-18,133,144,235.0,4.875,2.34,0.1,0.23,154.0,201.0,21,2.0475,0,0,0,0,0,0.0,0,0,0.0,0.0,0.3425,0.9775,1.0725,0.0,0,0.0,1.37,3.7175,90.2725,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,-0.30434782608695654,-0.5652173913043479,Lineage_JN.1,90.2725,0.011796682358215627,,,,,,,,,,,,,
2024-02-25,98,94,148.333333333333,3.12,4.875,0.15,0.1,133.0,154.0,22,2.2375,0,0,0,0,0,0.0,0,0,0.0,0.0,0.3425,0.78,0.875,0.0,0,0.0,0.78,5.2475,89.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3472222222222222,0.4999999999999998,Lineage_JN.1,89.7375,-0.005926500318480077,,,,,,,,,,,,,
2024-03-03,107,133,123.666666666667,2.535,3.12,0.12,0.15,98.0,133.0,23,3.22,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.4375,0.5325,0.0,0,0.0,0.4375,3.8775,90.6625,0.8325,0.0,0.0,0.0,0.0,0.0,0.0,0.4148936170212767,-0.19999999999999996,Lineage_JN.1,90.6625,0.010307842317871518,,,,,,,,,,,,,
2024-03-10,55,105,110.666666666667,3.9,2.535,0.11,0.12,107.0,98.0,24,4.925,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.5325,0.0,0,0.0,0.0,3.44,90.275,0.8325,0.0,0.0,0.0,0.0,0.0,0.0,-0.21052631578947367,-0.08333333333333326,Lineage_JN.1,90.275,-0.004274093478560448,,,,,,,,,,,,,
2024-03-17,51,83,107.0,3.12,3.9,0.1,0.11,55.0,107.0,25,5.85666666666667,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.87666666666667,89.16,1.11,0.0,0.0,0.0,0.0,0.0,0.0,-0.20952380952380956,-0.09090909090909083,Lineage_JN.1,89.16,-0.012351149266131345,,,,,,,,,,,,,
2024-03-24,66,114,100.666666666667,2.73,3.12,0.13,0.1,51.0,55.0,26,8.02,0,0,0,0,0,0.98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.96,87.9266666666667,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.37349397590361444,0.30000000000000004,Lineage_JN.1,87.9266666666667,-0.013832809929713918,,,,,,,,,,,,,
2024-03-31,53,73,90.0,2.925,2.73,0.07,0.13,66.0,51.0,27,8.82666666666667,0,0,0,0,0,0.98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.01,2.97,83.18,3.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.35964912280701755,-0.46153846153846145,Lineage_JN.1,83.18,-0.05398438092349722,,,,,,,,,,,,,
2024-04-07,28,72,86.3333333333333,2.145,2.925,0.06,0.07,53.0,66.0,28,8.955,0,0,0,0,0,1.47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.515,4.455,79.055,4.545,0.0,0.0,0.0,0.0,0.0,0.0,-0.013698630136986356,-0.14285714285714302,Lineage_JN.1,79.055,-0.0495912478961289,,,,,,,,,,,,,
2024-04-14,30,86,77.0,2.34,2.145,0.04,0.06,28.0,53.0,29,8.955,0,0,0,0,0,1.47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.515,4.455,79.055,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444442,-0.33333333333333326,Lineage_JN.1,79.055,0.0,,,,,,,,,,,,,
2024-04-21,47,122,93.3333333333333,2.34,2.34,0.08,0.04,30.0,28.0,30,9.09,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.03,3.03,75.76,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.4186046511627908,1.0,Lineage_JN.1,75.76,-0.04167984314717599,,,,,,,,,,,,,
2024-04-28,40,140,116.0,2.34,2.34,0.11,0.08,47.0,30.0,31,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.78,18.52,3.7,0.0,0.0,0.0,0.0,0.0,0.14754098360655732,0.375,Lineage_JN.1,77.78,0.026663146779303037,,,,,,,,,,,,,
2024-05-05,39,109,123.666666666667,2.73,2.34,0.12,0.11,40.0,47.0,32,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.78,18.52,3.7,0.0,0.0,0.0,0.0,0.0,-0.22142857142857142,0.09090909090909083,Lineage_JN.1,77.78,0.0,,,,,,,,,,,,,
2024-05-12,48,151,133.333333333333,2.535,2.73,0.09,0.12,39.0,40.0,33,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.78,18.52,3.7,0.0,0.0,0.0,0.0,0.0,0.3853211009174311,-0.25,Lineage_JN.1,77.78,0.0,,,,,,,,,,,,,
2024-05-19,43,157,139.0,0.975,2.535,0.16,0.09,48.0,39.0,34,4.545,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,66.165,19.865,9.425,0.0,0.0,0.0,0.0,0.0,0.039735099337748325,0.7777777777777779,Lineage_JN.1,66.165,-0.1493314476729236,,,,,,,,,,,,,
2024-05-26,55,224,177.333333333333,2.73,0.975,0.29,0.16,43.0,48.0,35,7.445,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,54.81,19.3,18.445,0.0,0.0,0.0,0.0,0.0,0.4267515923566878,0.8124999999999998,Lineage_JN.1,54.81,-0.17161641351167545,,,,,,,,,,,,,
2024-06-02,61,280,220.333333333333,2.73,2.73,0.35,0.29,55.0,43.0,36,4.96333333333333,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50.8266666666667,17.9933333333333,26.2166666666667,0.0,0.0,0.0,0.0,0.0,0.25,0.2068965517241379,Lineage_JN.1,50.8266666666667,-0.07267530256035937,,,,,,,,,,,,,
2024-06-09,127,532,345.333333333333,2.925,2.73,0.47,0.35,61.0,55.0,37,4.095,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,46.1425,18.72,31.0425,0.0,0.0,0.0,0.0,0.0,0.8999999999999999,0.34285714285714297,Lineage_JN.1,46.1425,-0.0921596274921308,,,,,,,,,,,,,
2024-06-16,193,737,516.333333333333,3.315,2.925,0.95,0.47,127.0,61.0,38,2.3125,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39.565,18.025,40.0975,0.0,0.0,0.0,0.0,0.0,0.38533834586466176,1.021276595744681,Lineage_KP.3,40.0975,0.2916968671981959,,,,,,,,,,,,,
2024-06-23,246,794,687.666666666667,7.41,3.315,1.33,0.95,193.0,127.0,39,1.23,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0925,0.0925,33.3075,18.2575,47.025,0.0,0.0,0.0,0.0,0.0,0.07734056987788329,0.40000000000000013,Lineage_KP.3,47.025,0.1727663819440115,,,,,,,,,,,,,
2024-06-30,258,953,828.0,2.925,7.41,1.07,1.33,246.0,193.0,40,1.9625,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0925,0.0925,29.185,17.525,51.055,0.0925,0.0,0.0,0.0,0.0,0.20025188916876568,-0.19548872180451127,Lineage_KP.3,51.055,0.08569909622541205,,,,,,,,,,,,,
2024-07-07,354,1157,968.0,2.34,2.925,1.26,1.07,258.0,246.0,41,1.9225,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0925,0.0925,26.23,16.0375,55.54,0.0925,0.0,0.0,0.0,0.0,0.21406086044071349,0.17757009345794383,Lineage_KP.3,55.54,0.08784644011360299,,,,,,,,,,,,,
2024-07-14,349,1192,1100.66666666667,3.51,2.34,1.61,1.26,354.0,258.0,42,1.56,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0925,0.1575,23.315,14.62,59.98,0.285,0.0,0.0,0.0,0.0,0.030250648228176358,0.2777777777777779,Lineage_KP.3,59.98,0.07994238386748287,,,,,,,,,,,,,
2024-07-21,359,1049,1132.66666666667,21.06,3.51,1.68,1.61,349.0,354.0,43,1.55,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.065,19.305,11.255,67.3325,0.5,0.0,0.0,0.0,0.0,-0.11996644295302017,0.04347826086956519,Lineage_KP.3,67.3325,0.12258252750916965,,,,,,,,,,,,,
2024-07-28,336,926,1055.66666666667,2.535,21.06,1.22,1.68,359.0,349.0,44,1.03,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.065,16.845,10.3675,70.9775,0.725,0.0,0.0,0.0,0.0,-0.11725452812202097,-0.27380952380952384,Lineage_KP.3,70.9775,0.05413433334570983,,,,,,,,,,,,,
2024-08-04,271,583,852.666666666667,2.34,2.535,0.78,1.22,336.0,359.0,45,1.155,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.065,14.675,8.0025,74.015,2.0975,0.0,0.0,0.0,0.0,-0.37041036717062636,-0.360655737704918,Lineage_KP.3,74.015,0.04279525201648404,,,,,,,,,,,,,
2024-08-11,194,586,698.333333333333,2.73,2.34,0.84,0.78,271.0,336.0,46,1.4925,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.86,7.2975,75.5225,2.8375,0.0,0.0,0.0,0.0,0.005145797598627766,0.07692307692307687,Lineage_KP.3,75.5225,0.020367493075727827,,,,,,,,,,,,,
2024-08-18,185,549,572.666666666667,3.12,2.73,0.7,0.84,194.0,271.0,47,1.4025,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1325,12.7025,7.955,74.2575,3.5575,0.0,0.0,0.0,0.0,-0.06313993174061439,-0.16666666666666674,Lineage_KP.3,74.2575,-0.01674997517296173,,,,,,,,,,,,,
2024-08-25,200,476,537.0,1.755,3.12,0.72,0.7,185.0,194.0,48,1.605,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1325,11.7475,6.5575,74.0975,5.865,0.0,0.0,0.0,0.0,-0.13296903460837883,0.028571428571428692,Lineage_KP.3,74.0975,-0.00215466451200208,,,,,,,,,,,,,
2024-09-01,261,643,556.0,2.34,1.755,0.73,0.72,200.0,185.0,49,1.485,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1325,13.2225,5.8575,71.5625,7.7425,0.0,0.0,0.0,0.0,0.35084033613445387,0.01388888888888884,Lineage_KP.3,71.5625,-0.03421168055602408,,,,,,,,,,,,,
2024-09-08,201,731,616.666666666667,2.925,2.34,0.91,0.73,261.0,200.0,50,1.4875,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1325,12.995,4.775,68.66,11.95,0.0,0.0,0.0,0.0,0.1368584758942457,0.24657534246575352,Lineage_KP.3,68.66,-0.04055895196506554,,,,,,,,,,,,,
2024-09-15,336,1095,823.0,2.925,2.925,1.17,0.91,201.0,261.0,51,1.435,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.6775,3.7675,65.485,16.635,0.0,0.0,0.0,0.0,0.4979480164158687,0.2857142857142856,Lineage_KP.3,65.485,-0.0462423536265657,,,,,,,,,,,,,
2024-09-22,277,1388,1071.33333333333,3.9,2.925,1.43,1.17,336.0,201.0,52,1.3675,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.3325,3.4625,62.6,19.2375,0.0,0.0,0.0,0.0,0.26757990867579906,0.22222222222222232,Lineage_KP.3,62.6,-0.04405589066198368,,,,,,,,,,,,,
2024-09-29,338,1185,1222.66666666667,5.265,3.9,1.4,1.43,277.0,336.0,53,1.9225,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.035,3.0875,59.4275,23.5275,0.0,0.0,0.0,0.0,-0.14625360230547546,-0.020979020979021046,Lineage_KP.3,59.4275,-0.05067891373801914,,,,,,,,,,,,,
2024-10-06,398,1234,1269.0,3.9,5.265,1.54,1.4,338.0,277.0,54,2.665,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.855,2.19,56.8475,25.445,0.0,0.0,0.0,0.0,0.04135021097046421,0.10000000000000009,Lineage_KP.3,56.8475,-0.04341424424719209,,,,,,,,,,,,,
2024-10-13,368,1030,1149.66666666667,3.51,3.9,1.3,1.54,398.0,338.0,55,3.4325,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.1225,1.87,54.7825,27.795,0.0,0.0,0.0,0.0,-0.1653160453808752,-0.15584415584415579,Lineage_KP.3,54.7825,-0.036325256167817344,,,,,,,,,,,,,
2024-10-20,354,942,1068.66666666667,2.925,3.51,1.06,1.3,368.0,398.0,56,4.05,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.465,1.3475,53.36,30.66,0.0,0.12,0.0,0.0,-0.08543689320388348,-0.18461538461538463,Lineage_KP.3,53.36,-0.0259663213617487,,,,,,,,,,,,,
2024-10-27,296,887,953.0,3.315,2.925,1.0,1.06,354.0,368.0,57,4.0425,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10.1675,1.1775,52.285,32.085,0.0,0.2475,0.0,0.0,-0.05838641188959659,-0.05660377358490576,Lineage_KP.3,52.285,-0.0201461769115443,,,,,,,,,,,,,
2024-11-03,234,709,846.0,2.925,3.315,0.65,1.0,296.0,354.0,58,3.485,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,9.5325,0.6725,50.905,35.1575,0.0,0.2475,0.0,0.0,-0.20067643742953778,-0.35,Lineage_KP.3,50.905,-0.026393803194032617,,,,,,,,,,,,,
2024-11-10,226,583,726.333333333333,3.51,2.925,0.55,0.65,234.0,296.0,59,4.655,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,11.2125,0.1275,46.47,37.1225,0.0,0.4125,0.0,0.0,-0.17771509167842026,-0.15384615384615385,Lineage_KP.3,46.47,-0.08712307238974559,,,,,,,,,,,,,
2024-11-17,222,457,583.0,3.12,3.51,0.61,0.55,226.0,234.0,60,5.2,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.3925,0.295,40.7075,40.9425,0.0,0.46,0.0,0.0,-0.21612349914236706,0.1090909090909089,Lineage_XEC,40.9425,0.10290255236042833,,,,,,,,,,,,,
2024-11-24,182,414,484.666666666667,3.51,3.12,0.51,0.61,222.0,226.0,61,4.95,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.065,0.38,37.275,42.57,0.0,0.755,0.0,0.0,-0.0940919037199125,-0.16393442622950816,Lineage_XEC,42.57,0.03975087012273315,,,,,,,,,,,,,
2024-12-01,157,380,417.0,3.9,3.51,0.44,0.51,182.0,222.0,62,5.385,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.6025,0.38,34.695,43.745,0.0,1.19,0.0,0.0,-0.08212560386473433,-0.13725490196078427,Lineage_XEC,43.745,0.02760159736903911,,,,,,,,,,,,,
2024-12-08,115,312,368.666666666667,3.315,3.9,0.37,0.44,157.0,182.0,63,5.92,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.8125,0.38,31.0275,44.5625,0.0,1.295,0.0,0.0,-0.17894736842105263,-0.15909090909090906,Lineage_XEC,44.5625,0.018687850040004728,,,,,,,,,,,,,
2024-12-15,127,407,366.333333333333,3.315,3.315,0.34,0.37,115.0,157.0,64,5.815,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,21.885,0.2125,28.48,41.92,0.0,1.69,0.0,0.0,0.3044871794871795,-0.08108108108108103,Lineage_XEC,41.92,-0.05929873772791017,,,,,,,,,,,,,
2024-12-22,107,332,350.333333333333,2.145,3.315,0.32,0.34,127.0,115.0,65,5.5975,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,23.2675,0.0,26.0425,42.995,0.0,2.1,0.0,0.0,-0.1842751842751843,-0.05882352941176472,Lineage_XEC,42.995,0.025644083969465603,,,,,,,,,,,,,
2024-12-29,139,346,361.666666666667,4.55,2.145,0.33,0.32,107.0,127.0,66,5.6825,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,27.865,0.0,23.335,41.065,0.0,2.055,0.0,0.0,0.04216867469879526,0.03125,Lineage_XEC,41.065,-0.04488894057448545,,,,,,,,,,,,,
