date,cases,ww_mean,ww_smooth,pct_mean,pos_lag1,cases_lag1,cases_lag2,week_num,Lineage_other,Lineage_B.1.1.7,Lineage_B.1.351,Lineage_P.1,Lineage_B.1.617.2,Lineage_BA.1,Lineage_BA.2,Lineage_BA.2.12.1,Lineage_BA.4,Lineage_BA.5,Lineage_BQ.1,Lineage_BA.2.75,Lineage_XBB,Lineage_XBB.1.5,Lineage_XBB.1.9,Lineage_XBF,Lineage_XBB.1.16,Lineage_EG.5,Lineage_BA.2.86,Lineage_JN.1,Lineage_KP.2,Lineage_KP.3,Lineage_XEC,Lineage_NB.1.8.1,Lineage_LP.8.1,Lineage_XFG,Lineage_BA.3.2,Week,Normalized_FB,Normalized_IG,Normalized_threads,week_start,sum_meas,avg_meas,social_lag1,week,week_count,week_total_count,week_ratio,norm_ratio,source,news_lag1,week_ct,norm_ct,tt_lag11,wastewater_change,positivity_change,top_lineage,top_lineage_pct,top_lineage_pct_change,llm_forecast_1,llm_forecast_2,llm_forecast_3,llm_forecast_4,llm_ci_lower_1,llm_ci_upper_1,llm_ci_lower_2,llm_ci_upper_2,llm_ci_lower_3,llm_ci_upper_3,llm_ci_lower_4,llm_ci_upper_4,llm_category_1,llm_category_2,llm_category_3,llm_category_4,llm_explanation
2024-01-07,383,868,1703.0,0.85,1.96,537.0,723.0,15,0.9425,0,0,0,0,0,0.195,0,0,0.0,0.0,0.1,0.1725,0.9575,0.495,0,0.27,4.4275,8.23,84.1125,0.0,0.1,0.0,0.0,0.0,0.0,0.0,08 Jan 2024 - 14 Jan 2024,60.0,85.0,50.0,08 Jan 2024,195.0,65.0,55.3333333333333,2024-01-08,0.0,8378.0,0.0,0.0,MediaCloud,0.0012953367875647,208.0,0.243279569892473,259.0,-0.44180064308681677,-0.5663265306122449,Lineage_JN.1,84.1125,0.05981855981855988,,,,,,,,,,,,,,,,,
2024-01-14,303,617,1013.33333333333,0.65,0.85,383.0,537.0,16,0.55,0,0,0,0,0,0.145,0,0,0.0,0.0,0.1,0.3375,0.3675,0.3475,0,0.1225,3.38,7.0025,87.55,0.0,0.1,0.0,0.0,0.0,0.0,0.0,15 Jan 2024 - 21 Jan 2024,55.0,80.0,31.0,15 Jan 2024,166.0,55.3333333333333,57.0,2024-01-15,1.0,8495.0,0.0012953367875647,2.69832194699622,MediaCloud,0.0036313260728559,259.0,0.311827956989247,177.0,-0.2891705069124424,-0.23529411764705876,Lineage_JN.1,87.55,0.040867885272700244,,,,,,,,,,,,,,,,,
2024-01-21,290,630,705.0,0.69,0.65,303.0,383.0,17,0.8325,0,0,0,0,0,0.145,0,0,0.0,0.0,0.1,0.215,0.54,0.3475,0,0.0,2.4075,6.5175,88.795,0.0,0.1,0.0,0.0,0.0,0.0,0.0,22 Jan 2024 - 28 Jan 2024,54.0,86.0,31.0,22 Jan 2024,171.0,57.0,50.6666666666667,2024-01-22,5.0,8412.0,0.0036313260728559,7.56443183977504,MediaCloud,0.0,177.0,0.201612903225806,101.0,0.021069692058346856,0.06153846153846132,Lineage_JN.1,88.795,0.01422044545973744,,,,,,,,,,,,,,,,,
2024-01-28,244,487,578.0,0.49,0.69,290.0,303.0,18,1.125,0,0,0,0,0,0.145,0,0,0.0,0.0,0.0,0.4125,0.6375,0.145,0,0.0,1.8875,5.88,89.5725,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,29 Jan 2024 - 04 Feb 2024,48.0,80.0,24.0,29 Jan 2024,152.0,50.6666666666667,49.0,2024-01-29,0.0,8672.0,0.0,0.0,MediaCloud,0.0,101.0,0.0994623655913978,27.0,-0.22698412698412695,-0.28985507246376807,Lineage_JN.1,89.5725,0.008756123655611292,,,,,,,,,,,,,,,,,
2024-02-04,193,354,490.333333333333,0.35,0.49,244.0,290.0,19,1.665,0,0,0,0,0,0.0,0,0,0.0,0.0,0.3425,0.755,0.835,0.0,0,0.0,1.3625,6.2375,88.605,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,05 Feb 2024 - 11 Feb 2024,47.0,75.0,25.0,05 Feb 2024,147.0,49.0,49.6666666666667,2024-02-05,0.0,8150.0,0.0,0.0,MediaCloud,0.0024370430544273,27.0,0.0,136.0,-0.2731006160164271,-0.2857142857142857,Lineage_JN.1,88.605,-0.010801306204471284,,,,,,,,,,,,,,,,,
2024-02-11,147,207,349.333333333333,0.23,0.35,193.0,244.0,20,2.1025,0,0,0,0,0,0.0,0,0,0.0,0.0,0.3425,0.9775,0.835,0.0,0,0.0,1.37,4.95,89.22,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,12 Feb 2024 - 18 Feb 2024,49.0,76.0,24.0,12 Feb 2024,149.0,49.6666666666667,52.3333333333333,2024-02-12,3.0,8223.0,0.0024370430544273,5.0766154583617,MediaCloud,0.0008,136.0,0.146505376344086,98.0,-0.4152542372881356,-0.34285714285714275,Lineage_JN.1,89.22,0.006940917555442683,,,,,,,,,,,,,,,,,
2024-02-18,124,144,235.0,0.1,0.23,147.0,193.0,21,2.0475,0,0,0,0,0,0.0,0,0,0.0,0.0,0.3425,0.9775,1.0725,0.0,0,0.0,1.37,3.7175,90.2725,0.0,0.1975,0.0,0.0,0.0,0.0,0.0,19 Feb 2024 - 25 Feb 2024,52.0,73.0,32.0,19 Feb 2024,157.0,52.3333333333333,50.6666666666667,2024-02-19,1.0,7323.0,0.0008,1.66648363446487,MediaCloud,0.0007880220646178,98.0,0.0954301075268817,120.0,-0.30434782608695654,-0.5652173913043479,Lineage_JN.1,90.2725,0.011796682358215627,,,,,,,,,,,,,,,,,
2024-02-25,92,94,148.333333333333,0.15,0.1,124.0,147.0,22,2.2375,0,0,0,0,0,0.0,0,0,0.0,0.0,0.3425,0.78,0.875,0.0,0,0.0,0.78,5.2475,89.7375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26 Feb 2024 - 03 Mar 2024,44.0,80.0,28.0,26 Feb 2024,152.0,50.6666666666667,45.6666666666667,2024-02-26,1.0,7207.0,0.0007880220646178,1.64153234285349,MediaCloud,0.0,120.0,0.125,137.0,-0.3472222222222222,0.4999999999999998,Lineage_JN.1,89.7375,-0.005926500318480077,,,,,,,,,,,,,,,,,
2024-03-03,84,133,123.666666666667,0.12,0.15,92.0,124.0,23,3.22,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.4375,0.5325,0.0,0,0.0,0.4375,3.8775,90.6625,0.8325,0.0,0.0,0.0,0.0,0.0,0.0,04 Mar 2024 - 10 Mar 2024,43.0,65.0,29.0,04 Mar 2024,137.0,45.6666666666667,58.0,2024-03-04,0.0,7224.0,0.0,0.0,MediaCloud,0.0372610605498917,137.0,0.147849462365591,309.0,0.4148936170212767,-0.19999999999999996,Lineage_JN.1,90.6625,0.010307842317871518,,,,,,,,,,,,,,,,,
2024-03-10,53,105,110.666666666667,0.11,0.12,84.0,92.0,24,4.925,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.5325,0.0,0,0.0,0.0,3.44,90.275,0.8325,0.0,0.0,0.0,0.0,0.0,0.0,11 Mar 2024 - 17 Mar 2024,48.0,93.0,33.0,11 Mar 2024,174.0,58.0,52.6666666666667,2024-03-11,39.0,7231.0,0.0372610605498917,77.6186845114988,MediaCloud,0.048005271906369,309.0,0.379032258064516,151.0,-0.21052631578947367,-0.08333333333333326,Lineage_JN.1,90.275,-0.004274093478560448,,,,,,,,,,,,,,,,,
2024-03-17,48,83,107.0,0.1,0.11,53.0,84.0,25,5.85666666666667,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.87666666666667,89.16,1.11,0.0,0.0,0.0,0.0,0.0,0.0,18 Mar 2024 - 24 Mar 2024,52.0,73.0,33.0,18 Mar 2024,158.0,52.6666666666667,44.6666666666667,2024-03-18,55.0,7193.0,0.048005271906369,100.0,MediaCloud,0.0172118324336314,151.0,0.166666666666667,164.0,-0.20952380952380956,-0.09090909090909083,Lineage_JN.1,89.16,-0.012351149266131345,,,,,,,,,,,,,,,,,
2024-03-24,64,114,100.666666666667,0.13,0.1,48.0,53.0,26,8.02,0,0,0,0,0,0.98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.96,87.9266666666667,1.11,0.0,0.0,0.0,0.0,0.0,0.0,25 Mar 2024 - 31 Mar 2024,43.0,72.0,19.0,25 Mar 2024,134.0,44.6666666666667,46.0,2024-03-25,22.0,7839.0,0.0172118324336314,35.8540463372479,MediaCloud,0.0090260155750113,164.0,0.184139784946237,130.0,0.37349397590361444,0.30000000000000004,Lineage_JN.1,87.9266666666667,-0.013832809929713918,,,,,,,,,,,,,,,,,
2024-03-31,50,73,90.0,0.07,0.13,64.0,48.0,27,8.82666666666667,0,0,0,0,0,0.98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.01,2.97,83.18,3.03,0.0,0.0,0.0,0.0,0.0,0.0,01 Apr 2024 - 07 Apr 2024,49.0,68.0,21.0,01 Apr 2024,138.0,46.0,41.0,2024-04-01,11.0,7128.0,0.0090260155750113,18.8021340502267,MediaCloud,0.0053528242222777,130.0,0.138440860215054,169.0,-0.35964912280701755,-0.46153846153846145,Lineage_JN.1,83.18,-0.05398438092349722,,,,,,,,,,,,,,,,,
2024-04-07,27,72,86.3333333333333,0.06,0.07,50.0,64.0,28,8.955,0,0,0,0,0,1.47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.515,4.455,79.055,4.545,0.0,0.0,0.0,0.0,0.0,0.0,08 Apr 2024 - 14 Apr 2024,42.0,65.0,16.0,08 Apr 2024,123.0,41.0,46.0,2024-04-08,7.0,8169.0,0.0053528242222777,11.1504924557412,MediaCloud,0.0026927460754947,169.0,0.190860215053763,141.0,-0.013698630136986356,-0.14285714285714302,Lineage_JN.1,79.055,-0.0495912478961289,,,,,,,,,,,,,,,,,
2024-04-14,28,86,77.0,0.04,0.06,27.0,50.0,29,8.955,0,0,0,0,0,1.47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.515,4.455,79.055,4.545,0.0,0.0,0.0,0.0,0.0,0.0,15 Apr 2024 - 21 Apr 2024,51.0,71.0,16.0,15 Apr 2024,138.0,46.0,42.6666666666667,2024-04-15,4.0,8532.0,0.0026927460754947,5.60927158322686,MediaCloud,0.0330034620669136,141.0,0.153225806451613,119.0,0.19444444444444442,-0.33333333333333326,Lineage_JN.1,79.055,0.0,,,,,,,,,,,,,,,,,
2024-04-21,46,122,93.3333333333333,0.08,0.04,28.0,27.0,30,9.09,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.03,3.03,75.76,9.09,0.0,0.0,0.0,0.0,0.0,0.0,22 Apr 2024 - 28 Apr 2024,46.0,67.0,15.0,22 Apr 2024,128.0,42.6666666666667,45.0,2024-04-22,51.0,9728.0,0.0330034620669136,68.749661768992,MediaCloud,0.0071482196613604,119.0,0.123655913978495,113.0,0.4186046511627908,1.0,Lineage_JN.1,75.76,-0.04167984314717599,,,,,,,,,,,,,,,,,
2024-04-28,39,140,116.0,0.11,0.08,46.0,28.0,31,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.78,18.52,3.7,0.0,0.0,0.0,0.0,0.0,29 Apr 2024 - 05 May 2024,43.0,74.0,18.0,29 Apr 2024,135.0,45.0,45.3333333333333,2024-04-29,10.0,8914.0,0.0071482196613604,14.8904888515214,MediaCloud,0.0020708084841268,113.0,0.115591397849462,147.0,0.14754098360655732,0.375,Lineage_JN.1,77.78,0.026663146779303037,,,,,,,,,,,,,,,,,
2024-05-05,39,109,123.666666666667,0.12,0.11,39.0,46.0,32,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.78,18.52,3.7,0.0,0.0,0.0,0.0,0.0,06 May 2024 - 12 May 2024,41.0,74.0,21.0,06 May 2024,136.0,45.3333333333333,44.3333333333333,2024-05-06,3.0,8659.0,0.0020708084841268,4.31371056113547,MediaCloud,0.0011286681715575,147.0,0.161290322580645,114.0,-0.22142857142857142,0.09090909090909083,Lineage_JN.1,77.78,0.0,,,,,,,,,,,,,,,,,
2024-05-12,33,151,133.333333333333,0.09,0.12,39.0,39.0,33,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,77.78,18.52,3.7,0.0,0.0,0.0,0.0,0.0,13 May 2024 - 19 May 2024,44.0,63.0,26.0,13 May 2024,133.0,44.3333333333333,38.0,2024-05-13,2.0,10210.0,0.0011286681715575,2.35113379580258,MediaCloud,0.0,114.0,0.116935483870968,144.0,0.3853211009174311,-0.25,Lineage_JN.1,77.78,0.0,,,,,,,,,,,,,,,,,
2024-05-19,42,157,139.0,0.16,0.09,33.0,39.0,34,4.545,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,66.165,19.865,9.425,0.0,0.0,0.0,0.0,0.0,20 May 2024 - 26 May 2024,37.0,61.0,16.0,20 May 2024,114.0,38.0,45.3333333333333,2024-05-20,0.0,9161.0,0.0,0.0,MediaCloud,0.0024236311057025,144.0,0.157258064516129,127.0,0.039735099337748325,0.7777777777777779,Lineage_JN.1,66.165,-0.1493314476729236,,,,,,,,,,,,,,,,,
2024-05-26,55,224,177.333333333333,0.29,0.16,42.0,33.0,35,7.445,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,54.81,19.3,18.445,0.0,0.0,0.0,0.0,0.0,27 May 2024 - 02 Jun 2024,44.0,73.0,19.0,27 May 2024,136.0,45.3333333333333,49.3333333333333,2024-05-27,4.0,9768.0,0.0024236311057025,5.04867696704152,MediaCloud,0.0017814167779745,127.0,0.134408602150538,123.0,0.4267515923566878,0.8124999999999998,Lineage_JN.1,54.81,-0.17161641351167545,,,,,,,,,,,,,,,,,
2024-06-02,61,280,220.333333333333,0.35,0.29,55.0,42.0,36,4.96333333333333,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50.8266666666667,17.9933333333333,26.2166666666667,0.0,0.0,0.0,0.0,0.0,03 Jun 2024 - 09 Jun 2024,46.0,79.0,23.0,03 Jun 2024,148.0,49.3333333333333,44.0,2024-06-03,2.0,9523.0,0.0017814167779745,3.71087738331969,MediaCloud,0.002508947234694,123.0,0.129032258064516,124.0,0.25,0.2068965517241379,Lineage_JN.1,50.8266666666667,-0.07267530256035937,,,,,,,,,,,,,,,,,
2024-06-09,127,532,345.333333333333,0.47,0.35,61.0,55.0,37,4.095,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,46.1425,18.72,31.0425,0.0,0.0,0.0,0.0,0.0,10 Jun 2024 - 16 Jun 2024,41.0,68.0,23.0,10 Jun 2024,132.0,44.0,43.6666666666667,2024-06-10,4.0,9729.0,0.002508947234694,5.22639938294188,MediaCloud,0.0058662385968359,124.0,0.130376344086022,116.0,0.8999999999999999,0.34285714285714297,Lineage_JN.1,46.1425,-0.0921596274921308,,,,,,,,,,,,,,,,,
2024-06-16,191,737,516.333333333333,0.95,0.47,127.0,61.0,38,2.3125,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39.565,18.025,40.0975,0.0,0.0,0.0,0.0,0.0,17 Jun 2024 - 23 Jun 2024,40.0,63.0,28.0,17 Jun 2024,131.0,43.6666666666667,49.0,2024-06-17,8.0,8240.0,0.0058662385968359,12.2199882718665,MediaCloud,0.0063584673079797,116.0,0.119623655913979,152.0,0.38533834586466176,1.021276595744681,Lineage_KP.3,40.0975,0.2916968671981959,,,,,,,,,,,,,,,,,
2024-06-23,240,794,687.666666666667,1.33,0.95,191.0,127.0,39,1.23,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0925,0.0925,33.3075,18.2575,47.025,0.0,0.0,0.0,0.0,0.0,24 Jun 2024 - 30 Jun 2024,39.0,71.0,37.0,24 Jun 2024,147.0,49.0,44.6666666666667,2024-06-24,9.0,8382.0,0.0063584673079797,13.2453521362851,MediaCloud,0.0,152.0,0.168010752688172,100.0,0.07734056987788329,0.40000000000000013,Lineage_KP.3,47.025,0.1727663819440115,,,,,,,,,,,,,,,,,
2024-06-30,252,953,828.0,1.07,1.33,240.0,191.0,40,1.9625,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0925,0.0925,29.185,17.525,51.055,0.0925,0.0,0.0,0.0,0.0,01 Jul 2024 - 07 Jul 2024,36.0,75.0,23.0,01 Jul 2024,134.0,44.6666666666667,49.6666666666667,2024-07-01,0.0,8789.0,0.0,0.0,MediaCloud,0.0006489292667099,100.0,0.0981182795698925,172.0,0.20025188916876568,-0.19548872180451127,Lineage_KP.3,51.055,0.08569909622541205,,,,,,,,,,,,,,,,,
2024-07-07,340,1157,968.0,1.26,1.07,252.0,240.0,41,1.9225,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0925,0.0925,26.23,16.0375,55.54,0.0925,0.0,0.0,0.0,0.0,08 Jul 2024 - 14 Jul 2024,36.0,78.0,35.0,08 Jul 2024,149.0,49.6666666666667,52.6666666666667,2024-07-08,1.0,8461.0,0.0006489292667099,1.35178750362173,MediaCloud,0.0036310820624546,172.0,0.19489247311828,143.0,0.21406086044071349,0.17757009345794383,Lineage_KP.3,55.54,0.08784644011360299,,,,,,,,,,,,,,,,,
2024-07-14,336,1192,1100.66666666667,1.61,1.26,340.0,252.0,42,1.56,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0925,0.1575,23.315,14.62,59.98,0.285,0.0,0.0,0.0,0.0,15 Jul 2024 - 21 Jul 2024,41.0,69.0,48.0,15 Jul 2024,158.0,52.6666666666667,58.0,2024-07-15,5.0,8139.0,0.0036310820624546,7.56392354059943,MediaCloud,0.0009541984732824,143.0,0.155913978494624,134.0,0.030250648228176358,0.2777777777777779,Lineage_KP.3,59.98,0.07994238386748287,,,,,,,,,,,,,,,,,
2024-07-21,352,1049,1132.66666666667,1.68,1.61,336.0,340.0,43,1.55,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.065,19.305,11.255,67.3325,0.5,0.0,0.0,0.0,0.0,22 Jul 2024 - 28 Jul 2024,44.0,84.0,46.0,22 Jul 2024,174.0,58.0,47.0,2024-07-22,1.0,6806.0,0.0009541984732824,1.98769517469569,MediaCloud,0.0022321428571428,134.0,0.143817204301075,161.0,-0.11996644295302017,0.04347826086956519,Lineage_KP.3,67.3325,0.12258252750916965,,,,,,,,,,,,,,,,,
2024-07-28,324,926,1055.66666666667,1.22,1.68,352.0,336.0,44,1.03,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.065,16.845,10.3675,70.9775,0.725,0.0,0.0,0.0,0.0,29 Jul 2024 - 04 Aug 2024,37.0,70.0,34.0,29 Jul 2024,141.0,47.0,41.6666666666667,2024-07-29,2.0,6362.0,0.0022321428571428,4.64978692652028,MediaCloud,0.0,161.0,0.18010752688172,136.0,-0.11725452812202097,-0.27380952380952384,Lineage_KP.3,70.9775,0.05413433334570983,,,,,,,,,,,,,,,,,
2024-08-04,264,583,852.666666666667,0.78,1.22,324.0,352.0,45,1.155,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.065,14.675,8.0025,74.015,2.0975,0.0,0.0,0.0,0.0,05 Aug 2024 - 11 Aug 2024,32.0,57.0,36.0,05 Aug 2024,125.0,41.6666666666667,45.0,2024-08-05,0.0,6813.0,0.0,0.0,MediaCloud,0.0042979942693409,136.0,0.146505376344086,138.0,-0.37041036717062636,-0.360655737704918,Lineage_KP.3,74.015,0.04279525201648404,,,,,,,,,,,,,,,,,
